"scenario","timeperiod","compartment","target","area","volume","age","hsize","avail_thlb","transition_area","transition_volume"
"cg_bau_a3_rNA",5,"TFL48","330000","1250.94000005722","329958.02581007","168.546029384162","1.1723898782167","136801.241997994","61.2","21850.7648"
"cg_bau_a3_rNA",10,"TFL48","330000","1274.25400000662","329996.814989691","147.365302364994","0.789500619582786","144941.926998094","15","3207.184"
"cg_bau_a3_rNA",15,"TFL48","330000","1291.31599993706","329984.029094122","141.908700891472","0.660519693062434","152401.686998516","83","27164.8988"
"cg_bau_a3_rNA",20,"TFL48","330000","1517.14599997997","329952.932195936","164.541536543001","0.991598692797368","156649.126998648","169","28188.2148"
"cg_bau_a3_rNA",25,"TFL48","330000","1399.8","329957.7952","150.527361051579","1.91753424657534","157929.301997736","219.4","28615.7508"
"cg_bau_a3_rNA",30,"TFL48","330000","1562.16799998283","329946.59707791","116.575118681784","3.03923735405221","156961.056997553","437.6","54595.5412"
"cg_bau_a3_rNA",35,"TFL48","330000","1527.1589999795","329988.397716438","123.978055331175","1.08617283071088","154051.056997553","544.2","70186.976"
"cg_bau_a3_rNA",40,"TFL48","330000","1638.37819999456","329961.55097925","110.070963102607","0.612248953660151","151941.011997513","827.378199994564","108778.60297925"
"cg_bau_a3_rNA",45,"TFL48","330000","1740","329970.184","101.015632183908","3.43195266272189","150492.011997513","972.8","126759.21"
"cg_bau_a3_rNA",50,"TFL48","330000","1639.34000005722","329950.630167619","110.88188417106","3.65109131415862","147675.051997535","820.546000051498","113307.475966231"
"cg_bau_a3_rNA",55,"TFL48","330000","1722.58120000362","329968.824600429","116.099705488298","3.83648374165618","143547.051997535","841.181200003624","111251.741200429"
"cg_bau_a3_rNA",60,"TFL48","330000","1625.11599993706","329969.928331804","118.173853438527","0.698073883134475","139990.016997509","792.115999937058","98024.9719318039"
"cg_bau_a3_rNA",65,"TFL48","330000","1623.07399997711","329995.152694207","129.164134228528","1.19784059038901","136273.616997652","827.6","105161.43"
"cg_bau_a3_rNA",70,"TFL48","330000","1352.46560002565","329961.318992777","142.755038800703","1.21515327944803","129062.128996901","495.759999978542","69604.1439172931"
"cg_bau_a3_rNA",75,"TFL48","330000","1442.35699996948","329988.069836247","138.459590796828","3.4423794748675","126100.128996901","581.956999969482","81089.0350362466"
"cg_bau_a3_rNA",80,"TFL48","330000","1590.76199998856","329955.172905631","151.592732289344","3.54289977725736","121161.128996901","567.367999982834","81134.0971178999"
"cg_bau_a3_rNA",85,"TFL48","330000","1369.8","329930.059","159.688421667397","2.52730627306273","117216.128996901","343","46395.406"
"cg_bau_a3_rNA",90,"TFL48","330000","1586.57819999456","329933.08805933","143.794809484027","0.592670227864985","114797.128996901","691.378199994564","96525.0020593298"
"cg_bau_a3_rNA",95,"TFL48","330000","1349.13400006294","329951.997890327","149.763514961985","0.692218573659796","112510.158996873","505.54000005722","81071.3850486183"
"cg_bau_a3_rNA",100,"TFL48","330000","1629.19400000572","329982.89256069","126.212304979969","3.78003248261188","108818.718997173","890.394000005722","122815.57616069"
"cg_bau_a3_rNA",105,"TFL48","330000","1579.31599993706","329992.928331804","146.765701105039","1.27159098223596","102223.718997173","708.515999937057","98563.9639318039"
"cg_bau_a3_rNA",110,"TFL48","330000","1592.13499981165","329969.309548384","183.950641112785","4.29146900218773","95946.3739983365","523.194000005722","76434.0748626332"
"cg_bau_a3_rNA",115,"TFL48","330000","1653.92299994081","329939.434470539","189.921694059296","2.45389169130684","91370.7639986873","527.958999979496","80792.5857994614"
"cg_bau_a3_rNA",120,"TFL48","330000","1553.5077999115","329980.441168985","189.893662068998","0.840642748869859","85860.1549991369","510.986000001431","74528.3059195483"
"cg_bau_a3_rNA",125,"TFL48","330000","1634.91859997511","329966.607933214","188.584824955859","0.824467271797836","80526.3299992681","609.353600001335","95522.8672300582"
"cg_bau_a3_rNA",130,"TFL48","330000","1656.14719997644","329956.781597068","198.409658273988","2.04462617281043","75175.3299992681","598.347199976444","85998.2323970681"
"cg_bau_a3_rNA",135,"TFL48","330000","1757.99400000572","329991.774708938","178.079991172068","3.74838805971369","71679.3299992681","863.8","118984.43"
"cg_bau_a3_rNA",140,"TFL48","330000","1825.50420004129","329942.079705923","168.690485616324","3.31909854552963","66443.3649992943","943.518200051785","130342.345288194"
"cg_bau_a3_rNA",145,"TFL48","330000","1597.39400000572","329965.34156069","183.474790815045","2.57229307569359","59213.3999993205","673.394000005722","97245.8441606903"
"cg_bau_a3_rNA",150,"TFL48","330000","1675.51599993706","329976.964731804","172.828561474821","0.703407220796414","52463.439999342","807.115999937058","110331.597931804"
"cg_bau_a3_rNA",155,"TFL48","330000","1681.15299998522","329989.610304618","159.456333839864","2.7335821137971","48874.439999342","940.358999979496","123993.63525945"
"cg_bau_a3_rNA",160,"TFL48","330000","1536.14200000763","329968.348625428","210.126330768535","2.26235935199945","42829.3249997497","567.8","81644.836"
"cg_bau_a3_rNA",165,"TFL48","330000","1626.17199997902","329962.771997408","252.726562752371","3.05671428567485","35799.3249997497","408.571999979019","59291.6765974078"
"cg_bau_a3_rNA",170,"TFL48","330000","1617.78599982262","329992.149376486","188.600278415879","1.69757187809299","30254.7949999571","766.247999846935","114937.631022586"
"cg_bau_a3_rNA",175,"TFL48","330000","1512.43899995089","329994.388594533","186.935086311853","3.96965616785009","26573.7949999571","677.038999950886","98602.4381945326"
"cg_bau_a3_rNA",180,"TFL48","330000","1481.03539987803","329961.91709722","229.500575082941","1.02992725999863","19728.7949999571","412.449399888515","57912.5876498537"
"cg_bau_a3_rNA",185,"TFL48","330000","1564.07900002003","329951.413599122","232.121206148229","1.41545610861541","14806.9550000429","510.711000037193","79290.4695463184"
"cg_bau_a3_rNA",190,"TFL48","330000","1529.37220000029","329948.44002002","205.037361081839","3.22652362869259","9758.95500004292","666.772200000286","104576.63022002"
"cg_bau_a3_rNA",195,"TFL48","330000","1538.07499991655","329990.437330622","206.574802928215","2.89111842089578","5440.95500004292","664.674999916553","100130.150130622"
"cg_bau_a3_rNA",200,"TFL48","330000","1560.97999999523","329987.014280417","216.463766350668","0.759970788702644","571.955000042915","618.394000005722","89432.9248626847"
"cg_partner_agreement_a3_r40",5,"Dawson_Creek_TSA","1370000","5693.32105820328","1369997.92272162","125.620125854918","3.33137569233662","299255.588625014","918.739410585165","325368.768097092"
"cg_partner_agreement_a3_r40",10,"Dawson_Creek_TSA","1370000","6316.4566283524","1369992.05660873","118.615599635222","1.94352511641612","257342.69274766","218.549603056908","56299.4774224618"
"cg_partner_agreement_a3_r40",15,"Dawson_Creek_TSA","1370000","6602.52987752859","1369979.30260512","124.209634140311","3.18962796015874","228968.236369045","263.560202349722","45413.5089399779"
